title,authors,subjects
You make me smile,Layn Marlow,"Snowmen,Juvenile fiction,Friendship,Fiction,Children's fiction,Winter, fiction,Picture books,Snow,Accessible book,Protected DAISY"
"Where, Oh Where, Is Rosie's Chick?",Simon Rickerty,"Children's fiction,Chickens, fiction,Human-animal relationships, fiction,Hens,Juvenile fiction,Chicks,Missing children,Picture books,Accessible book,Protected DAISY"
"Hurry Up, Ilua!",Nola Hicks,"American literature,Squirrels,Juvenile fiction,Winter,Hibernation,Picture books,Arctic ground squirrel,Fiction,Sisters,Animals,Accessible book,Protected DAISY"
"Duck, Duck, Dinosaur",Oriol Vidal,"Children's fiction,Snow, fiction,Brothers and sisters, fiction,Ducks, fiction,Dinosaurs, fiction,Picture books"
Belle & Boo,Mandy Sutcliffe,"Children's fiction,Picture books,Stories in rhyme"
Oh!,Josse Goffin,"Toy and movable books,Specimens,Stories without words,Libros de juguete y movibles,Cuentos sin palabras,Picture books for children,Picture books,Fiction, general"
What Sound Is Morning?,Grant Snider,"Children's fiction,Sound, fiction,Picture books"
Smelly Louie,Catherine Rayner,"Children's fiction,Dogs, fiction,Toy and movable books,Picture books,Dogs,Juvenile fiction,Odors,Smell,Accessible book,Protected DAISY"
Lighthouse Keeper's Cat,David Armitage,"Adventure and adventurers, fiction,Cats, fiction,Lighthouses, fiction,Picture books,Children's fiction,Pictorial works,Juvenile fiction,Cats,Fiction,Accessible book,Protected DAISY"
Tiny Tantrum,Ella Okstad,"Children's fiction,Monsters, fiction,Girls, fiction,Picture books,Stories in rhyme"
Squirrels Who Squabbled,Jim Field,"Children's fiction,Picture books,Squirrels, fiction"
Sally go round the stars,Steve McCarthy,"English Nursery rhymes,Nursery rhymes,English poetry,Children's poetry,Picture books,Accessible book,Protected DAISY"
"Be Bold, Baby",Alison Oliver,"Obama, michelle, 1964-,Obama, michelle, 1964-, juvenile literature,Presidents' spouses,African americans, biography,African americans, biography, juvenile literature,Lawyers,Winfrey, oprah, 1954-,Winfrey, oprah, 1954-, juvenile literature,Toy and movable books,Picture books"
Sleeping Beauty,Sarah Gibb,"Juvenile fiction,Princesses,Sleeping Beauty (Tale),Good and evil,Children's fiction,Sleeping beauty (fictitious character), fiction,Picture books,Fairy tales,Folklore, juvenile literature,Accessible book,Protected DAISY"
Dylan the Doctor,Guy Parker-Rees,"Physicians,Juvenile fiction,Dogs,Children's fiction,Picture books,Dogs, fiction,Accessible book,Protected DAISY"
Knife's edge,Hope Larson,"Voyages and travels,Treasure troves,Twins,Brothers and sisters,Comic books, strips,Children's fiction,Adventure and adventurers, fiction,Cartoons and comics,Picture books"
The story of Darth Vader,Catherine Saunders,"Characters and characteristics in motion pictures,Darth Vader (Fictitious character),Juvenile fiction,Star Wars films,Fiction,Chapter Books,Picture books,Readers,JUVENILE FICTION,Science fiction,Juvenile literature,Pictorial works,Good and evil,Space warfare,Readers (Elementary),Children's fiction,Vader, darth (fictitious character), fiction,Space shuttles, fiction,Accessible book,Protected DAISY"
Space Dog,Mini Grey,"Play,Juvenile fiction,Astronauts,Dogs,Cats,Mice,Friendship,Heroes,Children's fiction,Picture books,Dogs, fiction,Cats, fiction,Mice, fiction,Friendship, fiction,Astronauts, fiction,Heroes, fiction,Play, fiction,Accessible book,Protected DAISY"
Sloth slept on,Frann Preston-Gannon,"Sloths,Juvenile fiction,Imagination,Picture books,Fiction,Children's fiction,Imagination, fiction,Sloths, fiction,Mammals, juvenile literature,Accessible book,Protected DAISY"
Bears and a birthday,Shirley Parenteau,"Teddy bears,Cake,Birthday parties,Bears,Juvenile fiction,Birthdays,Baking,Children's stories,Pictorial works,Stories in rhyme,Children's fiction,Birthdays, fiction,Teddy bears, fiction,Picture books,Child and youth fiction"
Don't push the button!,Bill Cotter,"Books and reading,Humorous stories,Picture books,Juvenile fiction,Picture books for children,Fiction,Children's fiction,Monsters, fiction,Books and reading, fiction,Toy and movable books,Board books,Rules (Philosophy),Imagination,Accessible book,Protected DAISY"
My little pony,Gilberto Lazcano,"Imaginary places,Ponies,Friendship,My little pony, friendship is magic (Television program),Comic books, strips,Children's fiction,Ponies, fiction,Picture books,Cartoons and comics,Weddings,Fiction,Girls,Accessible book,Protected DAISY"
The Hundred and One Dalmatians,Steven Lenton,"Children's fiction,Picture books,Dogs, fiction"
Thomas & Friends,Thomas and Friends Staff,"Children's fiction,Thomas, the tank engine (fictitious character), fiction,Snow, fiction,Picture books,Toy and movable books,Time, fiction"
These Hands,Margaret H. Mason,"Children's fiction,Picture books,Grandparents, fiction,African americans, fiction"
Winnie and Wilbur,Korky Paul,"Children's fiction,Picture books,Witches, fiction,Robots, fiction"
Baby goes to market,Atinuke,"Mother and child,Juvenile fiction,Counting,Markets,Children's fiction,Counting books,Picture books,Accessible book,Protected DAISY"
Small things,Mel Tregonning,"Sadness,Anxiety,Mental Depression,Juvenile fiction,Cartoons and comics,Fiction,Children's fiction,Loneliness, fiction,Picture books"
Anancy and the Haunted House,Richardo Keens-Douglas,"Roosters,Araignees,Picture books,Juvenile fiction,Maisons hantees,Anansi (Personnage legendaire),Spiders,Anansi (Legendary character),Haunted houses,Romans, nouvelles, etc. pour la jeunesse,Coqs,Pictorial works,Accessible book,Protected DAISY"
Bad apple,Edward Hemingway,"Loss (Psychology),Apples,Friendship,Teasing,Worms,Fiction,Juvenile fiction,Children's fiction,Bullying, fiction,Picture books"
There's a monster in your book,Greg Abbott,"Children's fiction,Picture books,Monsters, fiction"
"Be Bold, Baby",Alison Oliver,"Winfrey, oprah, 1954-,Winfrey, oprah, 1954-, juvenile literature,Toy and movable books,African americans, biography,African americans, biography, juvenile literature,Picture books,Obama, michelle, 1964-,Obama, michelle, 1964-, juvenile literature,Presidents' spouses,Lawyers"
The Something,Rebecca Cobb,"Imagination,Curiosity,Juvenile fiction,Children's fiction,Pictorial works,Gardens,Gardens, fiction,Imagination, fiction,Picture books,Accessible book,Protected DAISY"
Enid Blyton's the night the toys came to life,Shirley Willis,"Toys,Fiction,Picture books"
Arthur's Eyes,Marc Brown,"Picture books,Picture books for children,Arthur (fictitious character : brown), fiction,Aardvark, fiction"
My Dog is As Smelly As Dirty Socks,Hanoch Piven,"Family life, fiction,Children's fiction,Individuality, fiction,Picture books"
Red Rhino (Little Giants),Alan Rogers,"Children's fiction,Rhinoceroses, fiction,Picture books,Rhino,Fiction,Red,Balloons,Color,Rhinoceroses,Lost and found possessions,Picture puzzles,Accessible book,Protected DAISY"
Blue Tortoise (Little Giants),Alan Rogers,"Children's fiction,Turtles, fiction,Picture books"
"Mary and the Mouse, The Mouse and Mary",Beverly Donofrio,"Mice,Human-animal relationships,Friendship,Juvenile fiction,Fiction,Children's fiction,Picture books,Pictorial works,Children's stories,Accessible book,Protected DAISY"
Ollie forgot,Tedd Arnold,"Memory,Juvenile fiction,Fiction,Picture books,Accessible book,Protected DAISY"
Robert Francis Weatherbee,Munro Leaf,"Behavior,Education,Fiction,Humorous stories,Picture books,Schools"
The postman,Rosalinda Kightley,"Fiction,Letter carriers,Stories in rhyme,Juvenile literature,City and town life,Juvenile fiction,Picture books,Picture books for children,Accessible book,Protected DAISY"
Sing and Play (Firm Foundations),Pie Corbett,"Maturation (Psychology),Growth,Developmental biology,Children's songs,Juvenile literature,Pictorial works,Singing games,Machinery, juvenile literature,Machinery,Songs,Picture books for children,Picture books,Animals, juvenile literature,Animals, pictorial works,Botany,Botany, juvenile literature,Accessible book,Protected DAISY"
Albert's old shoes,Mary Jane Muir,"Fiction,Pigs,Shoes,Soccer,The Beatles,bully,teasing,Children's fiction,Boys, fiction,Picture books for children,Picture books,Pigs, fiction,Soccer, fiction,Juvenile fiction,Teasing,Frustration,Chaussures,Romans, nouvelles, etc. pour la jeunesse,Taquineries,Livres d'images pour enfants,Accessible book,Protected DAISY"
Waking Beauty,Leah Wilcox,"Characters in literature,Fiction,Humorous stories,Stories in rhyme,Juvenile fiction,Characters and characteristics in literature,Children's fiction,Picture books,Fairies, fiction,Accessible book,Protected DAISY"
What Whiskers did,Ruth Carroll,"Picture books,Picture books for children"
Manfish,Jennifer Berne,"Oceanographers,Biography,Juvenile literature,Cousteau, jacques-yves, 1910-1997,Oceanography, juvenile literature,Scientists, juvenile literature,France, juvenile literature,Picture books,Accessible book,Protected DAISY"
I Feel Orange Today,Patricia Godwin,"Color,Juvenile literature,Colors,Picture books,Emotions,Fiction,Accessible book,Protected DAISY"
Open Wide,Tom Barber,"Dentists,Juvenile fiction,Dental care,Fiction,Children's fiction,Dentistry, fiction,Picture books,Accessible book,Protected DAISY"
Vogelboom,Frans van Anrooy,"Birds,Christmas trees,Fiction,Juvenile fiction,Picture books"
Tonka,Michael Teitelbaum,"Trucks,Truck driving,Picture books,Tanker trucks,Fiction,Juvenile literature,Trucks, juvenile literature,Truck drivers,Children's fiction,Cranes, derricks, etc., fiction,Toys, fiction,Imagination, fiction,Cranes, derricks,Toys,Accessible book,Protected DAISY"
"Engines, Engines",Stephen Waterhouse,"Counting-out rhymes,Juvenile fiction,Locomotives,Railroad trains,Numbers & counting,Picture books,Children's Books/Ages 4-8 Fiction,Children: Grades 2-3,General,Juvenile Fiction / Concepts / Counting,Counting,Fiction,Railroads,Stories in rhyme,Trains,Children's poetry,Indians of north america, poetry,Locomotives, fiction,Children's fiction"
Cottontails,Ronald M. Fisher,"Cottontails,children's book,Juvenile literature,Rabbits,Picture books,Accessible book,Protected DAISY"
The farmer,Rosalinda Kightley,"Farm life,Farmers,Juvenile literature,Picture books,Picture books for children,Accessible book,Protected DAISY"
Choo choo clickety-clack!,Margaret Mayo,"Fiction,Noise,Transportation,Juvenile fiction,Child and youth fiction,Children's fiction,Noise, fiction,Transportation, fiction,Picture books,Vehicles,Pictorial works,Accessible book,Protected DAISY"
Batman,Flint Dille,"Kidnapping,Police,Picture books,Prehistoric animals in fiction,Fiction,Juvenile fiction,Heroes in fiction,Prehistoric animals,Heroes,Batman (Fictitious character),Accessible book,Protected DAISY"
Dinotrux,Chris Gall,"Fiction,Imaginary creatures,Trucks,Children's fiction,Short stories,Picture books,Toy and movable books"
Shaoey and Dot,Mary Beth Chapman,"Nativity,Chinese Americans,Christian life,Fiction,Fear of the dark,Stories in rhyme,Adoption,Ladybugs,Intercountry adoption,Christmas,Picture books,Juvenile fiction,Children's stories, Chinese,Interracial adoption,Nativity of Jesus Christ,Accessible book,Protected DAISY"
Guji-Guji,"Chen, Zhiyuan","Picture books,Family,Loyalty,Juvenile fiction,Family life,Ducks,Crocodiles,Spanish language materials,Ficción juvenil,Novela infantil,Familia,Identidad,Patos,Fiction,Cocodrilos,Identity,Families,Identity (Philosophical concept),Accessible book,Protected DAISY"
On the move,Mandy Stanley,"Transportation,Motor vehicles,Juvenile literature,Pictorial works,Vehicles, juvenile literature,Transportation, juvenile literature,Vehicles,Picture books,Vocabulary,Accessible book,Protected DAISY"
Grizzly-Gruzzly-Bären,Wolfgang Bittner,"Bears,Juvenile fiction,Fathers and sons,Fiction,Imagination,Spanish language materials,Picture books,Translations into English,German fiction,Children's stories, German,Novela,Padres e hijos,Osos,Accessible book,Protected DAISY"
I got a chicken for my birthday,Laura Gehl,"Gifts,Hispanic Americans,Juvenile fiction,Birthdays,Chickens,Grandmothers,Children's fiction,Birthdays, fiction,Gifts, fiction,Chickens, fiction,Grandparents, fiction,Hispanic americans, fiction,Picture books"
Made for me,Zack Bush,"Stories in rhyme,Fathers,Father and child,Fiction,Children's fiction,Picture books,Toy and movable books"
The bear and the piano,David Litchfield,"JUVENILE FICTION / Animals / Bears,Bears,Juvenile fiction,JUVENILE FICTION / Social Issues / Friendship,Fiction,JUVENILE FICTION / Imagination & Play,Music,JUVENILE FICTION / Performing Arts / Music,Piano,Friendship,Children's fiction,Bears, fiction,Music, fiction,Friendship, fiction,Picture books"
Emma's Eggs,Margriet Ruurs,"Picture books,Children's fiction"
The Seal Children,Jackie Morris,"Children's fiction,Great britain, fiction,Picture books,Wales, fiction"
Sam,Ann Herbert Scott,"Fiction,Family life,Juvenile fiction,African Americans,Afro-Americans,Picture books,Picture books for children,Accessible book,Protected DAISY"
So Many Babies,Martina Selway,"Children's fiction,Counting books,Picture books,Counting,Pictorial works,Juvenile fiction,Accessible book,Protected DAISY"
Zeek Silvermoon,Amy Ehrlich,"Boys,Picture books,Family,Juvenile fiction,Childhood,Fiction,Accessible book,Protected DAISY"
The secret of Old Zeb,Carmen Agra Deedy,"Great-aunts,Shipbuilding,Fiction,Picture books,Children's fiction,Family, fiction,Ships, fiction,Accessible book,Protected DAISY"
Remarkable animals,Tony Meeuwissen,"Humorous stories,Animals,Toy and movable books,Fiction,Specimens,Child and youth fiction,Animals, juvenile literature,Picture books,Accessible book,Protected DAISY"
First Things First,Charlotte Voake,"Picture books,Accessible book,Protected DAISY"
What to Expect at Preschool (What to Expect Kids),Heidi Murkoff,"Juvenile literature,Picture books,Preschool Education,Accessible book,Protected DAISY"
Mr. Rush,Roger Hargreaves,"Children's stories,English,Little Miss Series,Mr Men Series,Picture Book,Humorous fiction,Humorous stories,Fiction,Children's fiction,Picture books,Accessible book,Protected DAISY"
Zathura,Chris Van Allsburg,"Fiction,Games,Juvenile fiction,Play,Brothers,Play -- Fiction.,Games -- Fiction.,Children's fiction,Play, fiction,Games, fiction,Picture books,New York Times reviewed,Accessible book,Protected DAISY"
Eli,Bill Peet,"Fiction,Lions,Children's stories,Vultures,Friendship,Picture books for children,Picture books,Children's fiction,Lion, fiction,Lion"
Dog and cat,Paul Fehlner,"Fiction,Cats,Stories in rhyme,Dogs,Ficción juvenil,Perros,Gatos,Cuentos en rima,Picture books,Juvenile fiction,Pets, juvenile literature,Children's fiction,Dogs, fiction,Cats, fiction,Accessible book,Protected DAISY"
Happy birthday! =,Mary Risk,"Fiction,Bilingual,Parties,Birthdays,Spanish language materials,French language materials,Picture books,Accessible book,Protected DAISY"
Mealtime,Maureen Roffey,"Food,Eating customs,Fiction,Picture books,Picture books for children,Accessible book,Protected DAISY"
I spy on vacation,Maureen Roffey,"Seashore,Fiction,Picture books,Picture books for children,Accessible book,Protected DAISY"
